,data
174,1449057.9503829503
175,307689.0571107563
176,1120778.023920524
177,1572924.2780748662
178,1060289.8547367665
179,1499403.7085137086
180,486758.73060184607
181,2298974.4444444445
182,1684153.7400318976
183,642929.5414550232
184,1403783.1092110504
185,1129327.1761525362
186,1187388.5794760794
187,1483391.5656565656
188,563944.0689290005
189,443853.95587435924
190,1453851.4573253542
191,1329274.9611096708
192,443853.95587435924
193,1458639.3893825472
194,1345345.4351285968
195,1237356.8647144325
196,1353262.1108058607
197,501243.9502488534
198,1548591.6444911298
199,1086789.0580008228
200,1328448.645320197
201,1328448.645320197
202,1409302.867965368
203,964739.7183158878
204,961234.8382078161
205,940728.7950312741
206,1237356.8647144325
207,1291070.124382259
208,934111.94053811
209,1382289.2780748664
210,2438578.333333333
211,1816328.9435564436
212,1668076.031746032
213,2305282.1852060985
214,1262011.1457565485
215,1520891.2650899235
216,3271566.6666666665
217,1823689.0842490841
218,1650226.3585434174
219,1895156.8253968253
220,2324845.2624066756
221,1167543.2327302955
222,1710758.5317460317
223,3110666.6666666665
224,1045143.7402129086
225,3412391.6666666665
226,1613095.2474323062
227,1687407.2222222225
228,1925195.0309820897
229,1594993.1221198156
230,1248629.7222222222
231,1586061.6446031746
232,2194150.0
233,1966417.7777777775
234,2199251.984126984
235,2158189.594474153
236,1610946.8347338936
237,1818573.8888888888
238,1413203.3333333333
239,1616400.0612745099
240,793594.0170088843
241,1073371.662381736
242,1650226.3585434174
243,1492881.6088935572
244,801554.9536946189
245,1579501.3585434174
246,2066347.8174603176
247,1962627.619047619
248,698201.5025169505
249,1529364.9019607843
250,706617.1963579931
251,965134.6153846154
252,1560327.4186597716
253,1064327.54018814
254,1031387.0507701507
255,1469883.2234432234
256,863457.3424414424
257,750733.7735195769
258,585552.5813814888
259,1013201.866495441
260,838977.4534903567
261,744273.7125439672
262,708673.7125439672
263,1597437.477106227
264,744273.7125439672
265,1692506.5247252746
266,744273.7125439672
267,522348.0933040794
268,838977.4534903567
269,857720.9293898453
270,832132.3741252774
271,453923.4316808108
272,772325.4812496477
273,766203.8230060382
274,1981146.6666666665
275,555894.9945132034
276,841532.1287217094
277,555922.9361161031
278,555894.9945132034
279,555922.9361161031
280,1192566.1904761905
281,555922.9361161031
282,555894.9945132034
283,1112472.871184371
284,1861456.6650600862
285,818643.7069144518
286,1340205.1587301588
287,1830693.1412337665
288,706656.7232033396
289,1218394.3650793652
290,2633842.619047619
291,2436692.6984126987
292,689446.3399158419
293,3817413.333333333
294,2644944.444444444
295,2532018.3333333335
296,1696980.5555555555
297,1038010.7026442025
298,565342.6010034278
299,1435766.2860015803
300,1708773.9862914863
301,573919.2493860143
302,596573.3702341971
303,1118421.5835965837
304,1557172.9545454546
305,701176.6786692294
306,1289916.0234210235
307,1270262.4000341764
308,2348217.0200456576
309,701176.6786692294
310,2464399.4696969697
311,630545.0093203802
312,858784.2841789495
313,1317417.0695970696
314,660626.6932288966
315,2436692.6984126987
316,714964.2841789494
317,2603435.882352941
318,2095416.1904761903
319,596573.3702341971
320,2244494.2496392494
321,1901074.4537815123
322,2081768.5192000982
323,1910419.206349206
324,2633842.619047619
325,2599584.188034188
326,701176.6786692294
327,1440513.4386446888
328,2097377.2222222225
329,1177988.6579429342
330,1732523.1746031747
331,2328942.8571428573
332,1611482.5057295647
333,2502398.418803419
334,1670888.8888888888
335,1737321.4285714284
336,2099163.5317460317
337,1404605.324609601
338,1652152.960275019
339,1710634.7186147186
340,1956206.3888888888
341,1777802.9819200404
342,2837661.111111111
343,920393.193950786
344,1485120.982142857
345,2284595.641025641
346,1763583.0679736931
347,2693915.714285714
348,1777395.238095238
349,1796128.3060689308
350,2152943.269230769
351,1811131.2822594072
352,1577868.067390126
353,2987607.5
354,2244254.089635854
355,1522028.9449112979
356,1419609.6240601505
357,2041341.2454212452
358,1950599.383949384
359,1689235.8607079196
360,2310317.8571428573
361,1413640.6221198156
362,1741045.634920635
363,1933400.0
364,2714845.641025641
365,1541027.142857143
366,1795295.1515151516
367,1695071.3130619382
368,1406644.9045454545
369,2895870.0
370,2018400.0
371,1846653.3333333333
372,671269.7538560979
373,1267146.9912762675
374,1577868.067390126
375,786592.0597887055
376,1483316.940253374
377,2135299.0934065934
378,1652152.960275019
379,1862370.027374586
380,1384537.9672778202
381,2244254.089635854
382,1849292.7083333335
383,920393.193950786
384,1806840.236985237
385,1555792.473049826
386,588955.1665986262
387,1118648.3258338394
388,1292206.5957446808
389,708555.3060274351
390,1024976.4063415542
391,1231442.1311682896
392,537169.8598590211
393,1339360.3932539683
394,1220810.057997558
395,2297692.0878035007
396,1906891.1458333333
397,1546041.2912087913
398,1190167.915140415
399,1523313.0402930405
400,1878688.9236111112
401,1394920.3932539683
402,1309529.5920745921
403,1128344.990842491
404,728578.7216436816
405,1883071.4285714286
406,2705047.619047619
407,756495.3967192149
408,2297692.0878035007
409,944630.8547794118
410,1459513.8675213675
411,1096301.848984349
412,1401952.168903319
413,1431060.3229745165
414,1164286.6527863801
415,832746.7451298701
416,1134622.8487594277
417,1080016.1820927612
418,1130194.3978243978
419,1448766.9047619046
420,864394.3433613383
421,1330057.2754419495
422,878354.1971105303
423,3640333.3333333335
424,1542516.9327894328
425,805985.1110049293
426,698363.4347740815
427,1496782.2583333333
428,1713591.6666666665
429,1689257.733134921
430,1567639.4444444445
431,1414679.8395445135
432,3640333.3333333335
433,741823.089462979
434,837882.5852215886
435,1268678.9895223132
436,1158541.88253203
437,561666.2733535725
438,1433106.2681159421
439,2031536.8603280191
440,1157012.7955079433
441,1160558.914935065
442,1557775.396825397
443,1280831.5243090242
444,1275692.579265903
445,1470907.3363095238
446,1432370.9903381641
447,741334.0650238831
448,1154448.2624113476
449,909614.6749939913
450,1304987.6527432376
451,1205482.609938547
452,1620227.142857143
453,537197.8014619208
454,1503054.2595689334
455,1243972.1825396826
456,1261728.290079365
457,969654.3934932913
458,1106454.4835421313
459,1034739.5154260943
460,847189.6749939913
461,1259386.7836831135
462,1028677.5204446716
463,1005110.8510634989
464,1414795.396825397
465,1259989.800754801
466,739290.728351868
467,1310359.4202454488
468,987324.1737130716
469,1367402.723569091
470,1417615.4347826086
471,1585858.7301587302
472,1844318.4981684983
473,1204327.5407925409
474,1042688.29009337
475,1636863.2539682542
476,1245178.4262356001
477,1336189.8395445135
478,1265962.8023373983
479,1339451.9230769232
480,1106454.4835421313
481,1008963.1265372054
482,1609153.174603175
483,666027.6443128161
484,1683716.25
485,1003503.2258513808
486,1192452.9761904762
487,1111150.0521342456
488,1088349.2708437187
489,1293890.87243102
490,1098083.228702472
491,1258260.634088134
492,1294541.1974810213
493,1208990.2777777778
494,643854.8028201133
495,1330210.6005532178
496,1601905.9523809522
497,1177706.2570464048
498,1209110.8459352937
499,1315902.0585317458
500,1410566.3636363635
501,1089989.5154260942
502,2476141.980555556
503,969654.3934932913
504,379264.6621324768
505,1371725.9262356001
506,1205623.006001091
507,1382088.2125603862
508,1282536.7839889578
509,1031593.6820927609
510,666027.6443128161
511,623318.7592960492
512,1734172.9166666665
513,1072478.3038001389
514,1270936.622626401
515,1229226.1820927612
516,1315778.1790827527
517,1432370.9903381641
518,1190512.6062467997
519,1142205.8110099533
520,1240573.5974747476
521,761642.2668134064
522,1440088.5615079366
523,682428.8468292536
524,2373043.3333333335
525,1294148.662464986
526,1037025.924369748
527,1689588.8278388276
528,939274.6561114326
529,964690.9928477319
530,1183509.4454887218
531,1772437.142857143
532,1035392.1555727556
533,1534639.236111111
534,1369169.7802197798
535,2373043.3333333335
536,2263495.4234070024
537,866021.2313303312
538,2726232.5
539,1407200.4761904762
540,1415732.680944786
541,682912.5310397799
542,1570838.8278388276
543,2117375.909090909
544,1347368.5897435895
545,1107847.6399331666
546,702919.5091764696
547,624758.6924925998
548,706529.313648556
549,1082161.5238095238
550,721425.1685796271
551,650663.2498472491
552,866384.5502645504
553,784653.7499498053
554,842506.0249189284
555,735756.4737512957
556,721425.1685796271
557,758213.6928982167
558,650663.2498472491
559,788373.4151204389
560,580622.7871593134
561,705430.5367914279
562,616287.485847307
563,747186.501148556
564,1409444.4841269841
565,2790133.3333333335
566,545248.6831838293
567,2977973.8095238097
568,1460317.1047811839
569,1323738.2379771494
570,2500579.166666667
571,1264956.130952381
572,1506569.74025974
573,2027579.761904762
574,765170.8355316152
575,2067965.8333333335
576,1249501.452991453
577,2466020.8333333335
578,857323.5261148593
579,2067965.8333333335
580,2159264.9999999995
581,650337.4417090022
582,1426070.5186480186
583,1242101.452991453
584,2327933.333333333
585,1716767.8438228439
586,3035361.111111111
587,711000.8902777778
588,1837146.1855396065
589,1175283.6752136752
590,1702774.2410714284
591,1340599.7863247863
592,1294921.0586173872
593,3552940.476190476
594,2660965.277777778
595,379264.6621324768
596,749427.1081349205
597,3601545.8333333335
598,1793070.1190476194
599,1322278.3424908426
600,873364.845554056
601,2067965.8333333335
602,5367075.0
603,1781071.1111111112
604,2574793.1159420293
605,3431130.0
606,545248.6831838293
607,1031631.6666666666
608,757818.5317697707
609,3324694.444444445
610,1924551.5476190478
611,3431130.0
612,395756.96250332566
613,1781761.6666666667
614,1464254.9786324785
615,2116009.4444444445
616,1340599.7863247863
617,3457408.592132506
618,1653311.4285714286
619,1814495.8547008547
620,1909716.3095238097
621,1389118.5897435897
622,2785047.619047619
623,1765305.2777777775
624,1017247.7960927961
625,2440600.3968253965
626,2851749.663561077
627,2776940.4761904767
628,1249139.867018946
629,1429036.7118634053
630,1529183.3974358975
631,1710659.7818123908
632,2447819.663561077
633,708475.26010522
634,2161680.423634337
635,1802508.6446886447
636,2972583.333333333
637,1154625.4670329671
638,2117497.380952381
639,3081583.3333333335
640,1015275.6223694289
641,2356523.076923077
642,2016909.3998015872
643,2580300.0
644,2106242.777777778
645,2293057.619047619
646,1673655.202020202
647,1919722.1245421246
648,2292965.2777777775
649,763895.3553523682
650,1758171.7643467642
651,1001665.3904258509
652,1683758.3333333333
653,2075902.1546052631
654,1215044.0336856125
655,1928022.619047619
656,1995405.9523809522
657,408017.53409959516
658,1041987.3488304093
659,387068.6750935935
660,601263.7913266846
661,1568263.8095238095
662,734569.4651503095
663,3320583.3333333335
664,903565.6670382759
665,1524564.1666666665
666,1183974.0830468205
667,1622067.5
668,2353077.685539099
669,970910.1540218359
670,1104145.0968011029
671,2394156.379585327
672,2277500.4272043747
673,1971440.6132756132
674,571408.3689012879
675,384066.917906047
676,966353.7692307692
677,571408.3689012879
678,1294982.8282828282
679,1048625.6426320835
680,571408.3689012879
681,571408.3689012879
682,661605.0135233685
683,571408.3689012879
684,1490539.3469898521
685,1439934.9927849928
686,1127966.6341991343
687,1050390.6151761517
688,707795.8981001562
689,1071930.031866038
690,918602.6016184252
691,1390440.7647907645
692,1281500.2110747038
693,661373.8473887398
694,1278319.6356421357
695,1104145.0968011029
696,731879.9106738463
697,1008786.5476190476
698,1269385.1935319584
699,1112069.275563517
700,384066.917906047
701,1899005.092845751
702,1334333.1707765919
703,1687687.4572795623
704,1372849.906204906
705,1422098.271103896
706,1400841.5728715728
707,822045.7999802486
708,1510511.2941169192
709,1807090.3205128205
710,1069780.6776091838
711,525374.3451477385
712,1762667.2397668746
713,1389116.6651649005
714,571408.3689012879
715,971751.6032946095
716,808819.3706550802
717,1161347.5126262626
718,571408.3689012879
719,1986163.0546062128
720,1083927.412818419
721,536841.7985794452
722,1125691.9884939622
723,1430771.1344211344
724,1269385.1935319584
725,1220608.0862193364
726,1246055.269961276
727,1299092.7705627705
728,736012.556189332
729,571408.3689012879
730,591990.7742059946
731,1299390.2705627705
732,733304.5246767272
733,1500062.9166666667
734,393787.916255882
735,1416668.5425685425
736,1435791.7786599365
737,918602.6016184252
738,1771563.03030303
739,1272685.8261183263
740,912052.0742170742
741,1393394.8862394914
742,1078767.6905696644
743,1368477.0265151516
744,1343668.7700462076
745,1402358.5425685425
746,1500062.9166666667
747,571408.3689012879
748,393787.916255882
749,1036045.0968011029
750,810876.6911231884
751,1410796.9738349887
752,1840933.37206653
753,1083927.412818419
754,983586.0426885488
755,528199.6618337168
756,1076675.88023088
757,658424.1686653255
758,389414.21118379483
759,1206716.6341991343
760,1395448.8990094871
761,527471.3708533247
762,393787.916255882
763,1126172.3436400811
764,1223654.715007215
765,508871.6490647279
766,527471.3708533247
767,1109013.6850027365
768,1370449.098124098
769,1198849.2567378855
770,1337526.1363636365
771,527471.3708533247
772,1404964.1594516593
773,527471.3708533247
774,1034603.7306164603
775,527471.3708533247
776,527471.3708533247
777,553775.3526571683
778,374914.10313607124
779,393787.916255882
780,1416171.967648399
781,575586.1253593948
782,1168877.1740362812
783,374914.10313607124
784,1434473.4657391973
785,885531.3913215438
786,536749.3885003835
787,707744.5052318771
788,1495528.8905757987
789,374914.10313607124
790,1763946.2147793726
791,1080513.1920391982
792,527471.3708533247
793,606788.255126055
794,1024318.1569704805
795,1694861.3470327402
796,527471.3708533247
797,500098.00584864744
798,1339484.6036414565
799,1753801.6538961038
800,885687.9255879257
801,1236109.1257259499
802,1142071.7188693658
803,1611760.589285714
804,1393894.866285675
805,1526102.857142857
806,1397122.1052966642
807,1527060.1866883116
808,1715138.0555555555
809,1310198.2371794872
810,1697401.169482847
811,943721.5052757816
812,1310753.9379084967
813,1363483.5695187165
814,1420758.2545885486
815,1634495.266705069
816,1998521.3347069598
817,1097641.4393939392
818,1671490.543831169
819,640521.2519986589
820,1809321.9463869464
821,1456820.8150183149
822,1016051.1200342199
823,1642059.8901098901
824,1467930.525210084
825,1596237.142857143
826,2115586.666666667
827,941276.0933016932
828,1498930.0910364145
829,943297.0629801629
830,707931.4412961903
831,1556988.8888888888
832,1463941.7279411764
833,785328.8004518668
834,1087547.1153846155
835,926512.1372577371
836,866021.2313303312
837,2268096.6666666665
838,907837.8357259358
839,1520800.3168767507
840,1370234.375
841,1646337.0888888887
842,1510541.7279411764
843,1521409.1088935572
844,1238504.3859649121
845,920108.7296468295
846,2736244.285714286
847,703793.3738619797
848,2832173.16017316
849,1243293.112507281
850,620283.3692060502
851,1964858.0442433383
852,722725.2452070089
853,1616190.2474323062
854,565314.6594005281
855,2217238.051948052
856,2360980.540184453
857,754618.3692060502
858,2200425.757575758
859,1607492.7472527472
860,1543496.8392134183
861,565314.6594005281
862,754618.3692060502
863,876229.9438990183
864,2143567.2429261557
865,1825728.5714285714
866,2015752.030812325
867,1396606.6666666665
868,2067698.2905982905
869,722725.2452070089
870,3097255.303030303
871,565342.6010034278
872,2083766.459276018
873,1569520.4228520016
874,1979494.5071010862
875,1976471.4896214895
876,1508408.2633053223
877,1409829.844358124
878,1561076.2481962482
879,657506.8391779938
880,2010684.1269841269
881,1230514.3452380954
882,2729010.833333333
883,3868566.666666667
884,2797755.9523809524
885,1962003.9860139857
886,2448476.666666667
887,3110073.8744588746
888,3299191.6666666665
889,2323900.0
890,2240343.0280246073
891,1776833.3349399138
892,734235.9043125589
893,2298474.6428571427
894,2871108.7301587304
895,2277706.785714286
896,2137153.6904761903
897,1066706.7307692308
898,1237084.1341991343
899,2600064.285714286
900,2283459.5481209615
901,565314.6594005281
902,2732424.0079365084
903,1347309.3821619558
904,1747979.9783549786
905,3133591.666666667
906,2416766.6666666665
907,1444780.7142857143
908,2655541.865079365
909,2752088.333333333
910,1704827.336715572
911,2032931.996336996
912,596717.7215174073
913,1459324.621212121
914,1848267.142857143
915,2196600.1253132834
916,983049.9444444444
917,2520096.9588744594
918,393787.916255882
919,646558.9685796088
920,577321.7521837836
921,811729.2636426216
922,758553.7599629705
923,578045.865684691
924,1396478.6957971328
925,547816.1711883952
926,379264.6621324768
927,1248008.937728938
928,547816.1711883952
929,1644658.53993229
930,1005346.7870095244
931,547816.1711883952
932,379264.6621324768
933,537169.8598590211
934,1249850.8058608058
935,379264.6621324768
936,2256227.6397515526
937,1111247.7652265716
938,975844.8412698414
939,1500891.9976641715
940,379264.6621324768
941,680842.7956772562
942,547816.1711883952
943,2227072.6397515526
944,722796.6958391737
945,713946.5650238831
946,1399830.6484578222
947,1141790.2158653638
948,727646.4209267835
949,1644658.53993229
950,769089.9584974017
951,537169.8598590211
952,729344.2063433755
953,547816.1711883952
954,1082864.4835421313
955,743466.9413870445
956,1257774.6153846155
957,547816.1711883952
958,675608.7545010773
959,1189952.5390976868
960,395756.96250332566
961,1435697.5347222222
962,1564686.8006993006
963,1461883.0296896086
964,574890.268496201
965,1619726.5954878456
966,990409.4971370713
967,623318.7592960492
968,2085271.4285714286
969,657536.7418428495
970,537169.8598590211
971,1048442.809184714
972,537169.8598590211
973,1622534.4805555553
974,657536.7418428495
975,537169.8598590211
976,584257.5098755114
977,2344493.8735177866
978,379264.6621324768
979,555922.9361161031
980,1098854.6336206896
981,1530947.415084915
982,2142429.1666666665
983,559216.659121201
984,1679912.8138528138
985,555894.9945132034
986,379264.6621324768
987,1662896.0606060605
988,559216.659121201
989,1098854.6336206896
990,555894.9945132034
991,3209532.1428571427
992,1574636.9227994226
993,1669618.7667191187
994,379264.6621324768
995,1423105.4945054944
996,1492975.7142857143
997,1285146.8956043958
998,1877759.11899504
999,1767347.619047619
1000,783454.3388027888
1001,1505980.5594405595
1002,653752.5290105895
1003,999375.4670329671
1004,1878688.9236111112
1005,1689332.9545454546
1006,1348313.0158730159
1007,1500382.6739926739
1008,1765705.5790043292
1009,1266672.857142857
1010,950008.6338745464
1011,1005022.0954130078
1012,1590097.857142857
1013,906979.6153846154
1014,843018.4991183393
1015,1358278.9097744361
1016,1369167.62987013
1017,1709575.0
1018,1276733.8652030812
1019,1560278.6721611721
1020,905757.8963134962
1021,1258869.6025396823
1022,1062691.1143237907
1023,1386598.8201710568
1024,1028723.326118326
1025,1132731.1280998695
1026,1110518.2709570122
1027,1069750.1125369747
1028,2687113.6363636362
1029,1198784.764463506
1030,1079394.3579135342
1031,662349.9186653255
1032,1852772.673160173
1033,1100038.2709570122
1034,852217.0806685805
1035,1073842.617243867
1036,1150536.3553113553
1037,1419917.1089271088
1038,1114487.1503496503
1039,1304461.9246031744
1040,1027158.1394319965
1041,651821.4059930266
1042,631680.6745099734
1043,1211240.2022763127
1044,1347118.9953102453
1045,1139366.83715794
1046,1458166.899546566
1047,1113939.05006105
1048,974474.6665493427
1049,981272.2159564573
1050,1092939.4052197803
1051,507311.79185978865
1052,571408.3689012879
1053,1057741.145320197
1054,1117178.9754689755
1055,1117178.9754689755
1056,1191039.134199134
1057,925629.511111111
1058,1068274.4192920881
1059,1121945.6421356422
1060,507311.79185978865
1061,562091.3371592106
1062,675519.4396921595
1063,1185203.9693223443
1064,882187.6587301588
1065,966133.579592821
1066,864885.4876636773
1067,1234453.0638102037
1068,1280120.877203756
1069,1152621.7857142857
1070,1139366.83715794
1071,872713.1730473994
1072,2010970.26291866
1073,623830.8307969229
1074,1052361.8415446985
1075,1139366.83715794
1076,1092939.4052197803
1077,547628.7537136211
1078,482364.91379142663
1079,991149.8501614336
1080,768228.6941594168
1081,1130911.05006105
1082,1202454.8969331323
1083,1287600.2453102453
1084,2053049.95
1085,962665.2872879036
1086,1320148.0750059537
1087,569905.7621173683
1088,1120919.164081017
1089,1103810.756431308
1090,830543.3456486042
1091,757046.7599535974
1092,853882.9130301243
1093,1297395.6424539855
1094,700405.185387487
1095,1046900.6753132831
1096,547628.7537136211
1097,595930.3548033542
1098,893968.3757381961
1099,569905.7621173683
1100,875457.392425582
1101,921701.9751126267
1102,1147456.3675213675
1103,968560.2715617716
1104,865059.0246957509
1105,944093.7583114054
1106,1123868.7441643323
1107,1115411.0327838827
1108,384066.917906047
1109,917715.7224499639
1110,865312.2996671787
1111,568382.7187897575
1112,745052.0737341493
1113,703093.2476063775
1114,484228.2909844091
1115,696519.2608767331
1116,809922.3447387473
1117,864676.6249712094
1118,447879.27867828344
1119,774649.2314137357
1120,833574.8350340228
1121,734988.4088967001
1122,792903.9210526317
1123,908056.3987484736
1124,882577.0543846237
1125,631930.163199013
1126,734166.8976770195
1127,872056.5352404688
1128,764712.6431905773
1129,883231.1678876679
1130,857256.918398136
1131,1167880.0594627594
1132,1002033.40521978
1133,817773.0350068548
1134,720983.4024950141
1135,784930.0947387473
1136,1164361.3261648747
1137,773483.8621671785
1138,1114688.7836438925
1139,908589.0588659707
1140,738950.5288338453
1141,435682.47532994376
1142,408017.53409959516
1143,408017.53409959516
1144,1119626.444541231
1145,1003709.0922619046
1146,1097362.2601958644
1147,375440.47204560915
1148,961413.8955026455
1149,1181551.020923521
1150,1415659.268018018
1151,375440.47204560915
1152,1249261.4975579977
1153,773483.8621671785
1154,1116465.984549968
1155,961413.8955026455
1156,932382.7916577307
1157,1375317.6046176048
1158,581150.2015464047
1159,773483.8621671785
1160,773483.8621671785
1161,1003709.0922619046
1162,1499058.3952811896
1163,1402167.7930402928
1164,1452034.0267371514
1165,1418623.730779025
1166,867047.5551586838
1167,1253429.0883458648
1168,1509454.5021645022
1169,1184025.278822055
1170,1120853.1954887218
1171,1771074.621212121
1172,1712045.2838827842
1173,1343661.8586968589
1174,1778980.5769230768
1175,2180058.3333333335
1176,1380647.572982573
1177,891547.5987126908
1178,1381325.2388583638
1179,1059600.9227614491
1180,996811.6810985334
1181,1377491.1722264662
1182,1384537.9672778202
1183,1492129.4642857143
1184,1389594.9212552153
1185,1683860.2234530177
1186,1007967.850877193
1187,1372087.4212552153
1188,1411841.14968365
1189,1439827.176157176
1190,1479864.9683649684
1191,1530651.037087912
1192,2045569.9050949053
1193,1421000.061947856
1194,556113.18879256
1195,948185.9915698338
1196,1431796.506826507
1197,1655109.7435897435
1198,1676314.7435897435
1199,838234.3844269766
1200,1125062.0770676692
1201,823396.0554226475
1202,1456912.9615482555
1203,1634025.063061938
1204,1430208.0012307954
1205,1408424.80512543
1206,2427916.729323308
1207,1950452.661064426
1208,1551963.9880952379
1209,601998.3081664247
1210,1779631.9900687546
1211,2243738.157894737
1212,2151671.6917628297
1213,660291.7279508007
1214,1585858.0555555555
1215,1457154.5572074982
1216,1945423.3333333333
1217,899108.0937001596
1218,2103234.0102707753
1219,2204786.706349206
1220,1087922.366198616
1221,1894973.6428045635
1222,2299745.8333333335
1223,1894973.6428045635
1224,1581758.7246087245
1225,1237500.7497134872
1226,675383.0751791312
1227,555894.9945132034
1228,1754340.646020646
1229,1637079.3106893108
1230,675944.1956772562
1231,1041803.0235846024
1232,2985387.5
1233,1129483.038014617
1234,1861260.6882591092
1235,1861260.6882591092
1236,555894.9945132034
1237,942304.5559271646
1238,2155781.666666667
1239,1041803.0235846024
1240,2041678.5714285716
1241,1592798.8888888888
1242,2308749.572649573
1243,982738.9499389501
1244,1670851.4285714286
1245,1706834.74025974
1246,575452.5993798675
1247,2899684.89010989
1248,1076245.6130682856
1249,2033490.6666666667
1250,1572024.6031746033
1251,571874.0248978075
1252,543894.2689960757
1253,825802.3629148629
1254,760789.6816657439
1255,431610.2437403974
1256,571874.0248978075
1257,1657452.121212121
1258,569723.0859696657
1259,746456.802877865
1260,559945.7878771946
1261,362449.08928320336
1262,1121851.9230769232
1263,666577.6518775439
1264,1361753.0952380954
1265,559945.7878771946
1266,362449.08928320336
1267,913020.3711843712
1268,543894.2689960757
1269,1143699.4292929291
1270,550122.0106254391
1271,1545975.0
1272,1048898.7082362082
1273,1007457.9069264071
1274,2146491.666666667
1275,817900.4994711268
1276,661751.5912714833
1277,878067.0745341614
1278,1645307.857142857
1279,1461425.9018759017
1280,2109171.221587301
1281,536427.0095966517
1282,760789.6816657439
1283,543894.2689960757
1284,669590.1518775439
1285,543894.2689960757
1286,362449.08928320336
1287,362449.08928320336
1288,755571.5912714833
1289,803567.6206832482
1290,762756.639452322
1291,574473.2231870464
1292,362449.08928320336
1293,755571.5912714833
1294,536427.0095966517
1295,661751.5912714833
1296,1687051.2666666668
1297,362449.08928320336
1298,2350260.0
1299,760789.6816657439
1300,746456.802877865
1301,760789.6816657439
1302,1430223.8961038962
1303,1808197.380952381
1304,1360752.3507085019
1305,561121.301956347
1306,469668.5171444121
1307,1145238.7109535234
1308,743745.4945919091
1309,836300.279281616
1310,1019246.9457339877
1311,475776.6036157186
1312,627279.3232519795
1313,999622.3475217015
1314,1029139.4551356973
1315,1503682.7272727273
1316,1408885.0577200577
1317,1345815.3518748276
